Age,White_cases,White_deaths,AA_cases,AA_deaths,Hisp_cases,Hisp_deaths
0-20,989,1,1204,2,4357,1
20-29,3366,0,3299,10,8394,11
30-39,3274,8,3402,39,8679,50
40-49,3408,23,3718,72,9660,124
50-59,4726,117,4072,172,7458,221
60-69,4458,375,3379,414,3702,308
70-79,3110,660,2199,507,1422,293
80+,4442,1754,1592,646,833,333
